"Letter","Frequency","Log Frequency"
A,1.9763979935594066e-3,-8.982910788388274
B,1.2854603944019497e-3,-9.60349912387218
C,1.5078262660086549e-3,-9.373314075954083
D,7.892511628848997e-4,-10.307227898338663
E,6.202615393963125e-4,-10.654835709165761
F,8.485346637591731e-4,-10.202738782584138
G,6.981106917899314e-4,-10.48425657257695
H,1.610781242615934e-3,-9.278023707205275
I,2.5517222173463945e-3,-8.614313000022202
J,6.168859663927952e-4,-10.662708552937051
K,2.9599555774592737e-4,-11.72213685526959
L,6.497978031770893e-4,-10.587721513307224
M,1.5063494528196161e-3,-9.374727789973026
N,7.360858880795015e-4,-10.407838266695114
O,6.230041924616703e-4,-10.648470507755535
P,1.0272290596328726e-3,-9.927026363620362
Q,3.797519628957016e-5,-14.684583052559814
R,7.270140356325487e-4,-10.42572916266454
S,2.001503817773067e-3,-8.964699917062033
T,3.0605898476266345e-3,-8.351974563692012
U,3.2025748870870833e-4,-11.608480073474022
V,1.9641615414216562e-4,-12.313798791330695
W,1.174488431911317e-3,-9.733751781023654
X,4.641412879836352e-6,-17.717004530252193
Y,3.0696617000735876e-4,-11.669632711093843
Z,2.1941224522862757e-5,-15.475996430748397
a,7.841076335207901e-2,-3.672804484811182
b,1.4024872909676418e-2,-6.155868492267596
c,2.9459469494946766e-2,-5.08512473916677
d,3.8876052334883844e-2,-4.68497446172711
e,0.12440526623144278,-3.0068805370299634
f,2.2468024884724182e-2,-5.475982883870885
g,1.8801097736340745e-2,-5.73303929103455
h,5.2617588085577524e-2,-4.248311070817224
i,7.032689892859313e-2,-3.8297795868436695
j,1.3662631731736462e-3,-9.515548878586923
k,6.274135346975149e-3,-7.316367633022221
l,4.068451557151827e-2,-4.619376377071551
m,2.3890617932394023e-2,-5.387412020096379
n,7.02222561654841e-2,-3.831927840573066
o,7.530776786859569e-2,-3.7310575056543187
p,1.9156376794960944e-2,-5.706031471823849
q,1.0276510062583123e-3,-9.926433881049041
r,6.058921470669646e-2,-4.044795182775584
s,6.345444326674453e-2,-3.9781350004213594
t,8.943707256806843e-2,-3.482983222754724
u,2.682272503257428e-2,-5.220400375676588
v,9.745279261154581e-3,-6.681080756653506
w,1.761036435935e-2,-5.827431430861744
x,1.9768199401848465e-3,-8.982602816342938
y,1.6920903573381583e-2,-5.885049579589287
z,9.280716026545507e-4,-10.073476262979364
