"Letter","Frequency","Log Frequency"
A,4.7288009888751545e-3,-7.724309857267799
B,1.0857849196538936e-3,-9.847045932974229
C,2.2051915945611868e-3,-8.82488027717176
D,1.1787391841779976e-3,-9.728539751517266
E,1.1866501854140914e-3,-9.718889581483547
F,6.427688504326329e-4,-10.603412364063612
G,7.021013597033374e-4,-10.476033057587383
H,7.258343634116193e-4,-10.428072019136215
I,1.942150803461063e-3,-9.008129057664734
J,5.794808405438813e-4,-10.75295141755718
K,4.19283065512979e-4,-11.219787817416229
L,3.9238566131025955e-3,-7.993511961592553
M,1.1530284301606922e-3,-9.760356198778931
N,9.671199011124846e-4,-10.014017617027193
O,7.139678615574784e-4,-10.451853245092256
P,1.3745364647713225e-3,-9.506839104368558
Q,9.295426452410384e-5,-13.393119420301788
R,6.665018541409147e-4,-10.55110349079757
S,1.665265760197775e-3,-9.23003184891303
T,8.682323856613102e-4,-10.16963114244407
U,5.438813349814586e-4,-10.844420463567404
V,6.546353522867738e-4,-10.57702086517221
W,1.5426452410383188e-4,-12.662306053117177
X,4.7663782447466006e-4,-11.034818935749467
Y,1.0284301606922126e-4,-13.247268553838335
Z,1.9184177997527813e-4,-12.3477954297923
a,7.918318912237331e-2,-3.658662016339783
b,9.625710754017306e-3,-6.698891212700924
c,3.226897404202719e-2,-4.953708480186903
d,4.353423980222497e-2,-4.521705658650066
e,0.14438566131025957,-2.7920006170924063
f,1.1882323856613102e-2,-6.395039174465156
g,1.160346106304079e-2,-6.429300995308062
h,8.474660074165637e-3,-6.882628782979565
i,7.396786155747836e-2,-3.756957622317066
j,1.6751545117428925e-3,-9.221490112647228
k,9.69097651421508e-4,-10.011070332976857
l,5.7210383189122374e-2,-4.12757918235107
m,2.5831396786155748e-2,-5.274730533079297
n,7.667737948084054e-2,-3.7050551573408845
o,5.43663782447466e-2,-4.201141467255426
p,2.8588380716934488e-2,-5.128427283615015
q,8.990852904820766e-3,-6.79732630316158
r,6.936959208899876e-2,-3.8495527885848038
s,8.390407911001237e-2,-3.5751152388386815
t,7.255377008652658e-2,-3.784805607270182
u,5.519505562422744e-2,-4.179317153675179
v,1.1896168108776266e-2,-6.393359249915989
w,3.619283065512979e-4,-11.432008433695385
x,4.23831891223733e-3,-7.88229213730288
y,3.3681087762669963e-3,-8.213845552300885
z,9.315203955500618e-4,-10.068125022366644
