"Letter","Frequency","Log Frequency"
A,3.099936033065984e-3,-8.333545838753098
B,2.3126506913349405e-3,-8.756236910575378
C,1.4761600157457068e-4,-12.725863261531858
D,2.2240810903901985e-3,-8.81257489472519
E,2.6669290951139104e-3,-8.550604815786505
F,1.9977365546425233e-3,-8.967417939955201
G,4.772917384244452e-3,-7.710912920065887
H,2.0075776214141614e-3,-8.96032851516888
I,8.46331742360872e-4,-10.206489102438278
J,2.0666240220439894e-4,-12.240436434361618
K,1.9682133543276093e-3,-8.988897667365652
L,1.2793386803129458e-3,-9.610386044111923
M,2.4504256261378733e-3,-8.672751925072296
N,1.486001082517345e-3,-9.394349117815299
O,2.2634453574767505e-4,-12.109191901083364
P,8.168085420459577e-4,-10.257714425793452
Q,1.968213354327609e-5,-15.632753857140377
R,1.3187029473994982e-3,-9.566664666682604
S,5.697977660778428e-3,-7.45533431915114
T,2.0075776214141614e-3,-8.96032851516888
U,1.1710869458249275e-3,-9.737936093832433
V,2.4602666929095115e-3,-8.666969572478289
W,2.401220292279683e-3,-8.70201651957749
X,9.841066771638045e-6,-16.632753857140376
Y,9.841066771638045e-6,-16.632753857140376
Z,2.16503468976037e-3,-8.851394143615718
a,5.237415735865768e-2,-4.255001062118157
b,1.5165083895094229e-2,-6.043102710625591
c,3.4148501697584016e-2,-4.872033909674753
d,4.554445701914087e-2,-4.456580708032887
e,0.17249421837327167,-2.5353800881501543
f,1.494858042611819e-2,-6.063847702638293
g,3.031048565664518e-2,-5.044039221558113
h,5.2137971756138365e-2,-4.261521728770755
i,7.366038478571077e-2,-3.7629672561945977
j,1.269497613541308e-3,-9.621526601717123
k,1.0510259312109433e-2,-6.572057925452823
l,3.3774541160261774e-2,-4.8879200196408314
m,2.6196919746100476e-2,-5.2544590012284855
n,9.959159572897702e-2,-3.3278321875587045
o,2.2791910643113714e-2,-5.45533431915114
p,4.2021355114894455e-3,-7.894661597519886
q,7.872853417310436e-5,-13.632753857140377
r,7.817743443389263e-2,-3.677103949612003
s,5.577916646164444e-2,-4.164129814222358
t,5.836736702258525e-2,-4.098694200690013
u,3.843920681001821e-2,-4.701277623253585
v,6.229395266446883e-3,-7.326692167712035
w,1.597205137036855e-2,-5.968306572592406
x,1.968213354327609e-5,-15.632753857140377
y,9.841066771638045e-6,-16.632753857140376
z,1.203562466171333e-2,-6.37654516861299
