"Letter","Frequency","Log Frequency"
A,2.6539471389867286e-3,-8.557644649101377
B,1.5441086808896344e-3,-9.339009985513027
C,3.077559205396708e-3,-8.343997673440375
D,1.3886717169998653e-3,-9.492078699189458
E,1.473672169144015e-3,-9.406368664267946
F,9.511577074821979e-4,-10.038027811398363
G,7.401791708907611e-4,-10.399837841689505
H,5.798434270487591e-4,-10.752048992266587
I,2.3061337623781907e-3,-8.760308088791692
J,6.867559895197885e-4,-10.507914791776072
K,2.0197537343598175e-4,-12.273532981560853
L,3.9059164154276616e-3,-8.000123208027821
M,1.1698154126474052e-3,-9.739503382432328
N,7.280646204683472e-4,-10.423645874878469
O,5.282076383630608e-4,-10.886607215210612
P,1.5519864486506576e-3,-9.331668324140814
Q,1.0227858143513333e-4,-13.255208323347773
R,8.114100793853911e-4,-10.26728115564835
S,1.6020334438383345e-3,-9.285880019090191
T,7.177374627312075e-4,-10.444256154553754
U,5.008009505221901e-4,-10.96347507903541
V,8.402731612661148e-4,-10.216853975062003
W,2.0905874444799422e-4,-12.223803990279274
X,6.251902414714558e-4,-10.643417119910868
Y,9.387121584143629e-5,-13.378957628899995
Z,7.083371012012471e-5,-13.785204364851001
a,7.642156305239536e-2,-3.7098764242949716
b,8.387836673617198e-3,-6.897485514841383
c,3.2194649446616604e-2,-4.957035248585142
d,4.23911951182731e-2,-4.560091549475113
e,0.14746227972536646,-2.761582128973062
f,1.0648425022385439e-2,-6.553216128377501
g,1.1827177398459215e-2,-6.401750379759255
h,8.797414397461319e-3,-6.828704713647806
i,7.44095546863384e-2,-3.748368304818452
j,1.6957722602216022e-3,-9.203841853623253
k,8.797943995293994e-4,-10.150545961975974
l,5.8878303846429336e-2,-4.086120078631012
m,2.6902245905248857e-2,-5.2161295701113914
n,7.525929440886356e-2,-3.7319864262472895
o,5.4605508532416885e-2,-4.19480969409592
p,2.883805838312987e-2,-5.115882156101898
q,9.099682360459908e-3,-6.779968098140566
r,6.949879258314123e-2,-3.8468682759593835
s,8.200008182286515e-2,-3.6082308404661636
t,7.293210913263659e-2,-3.777302073608264
u,5.659282439952543e-2,-4.143237049429373
v,1.2112101032437735e-2,-6.3674070451253515
w,3.098147321141903e-4,-11.656306631668745
x,4.451865581185295e-3,-7.811374251794664
y,3.4930287051293273e-3,-8.161305786052537
z,8.491439249634015e-4,-10.20170327661555
