"Letter","Frequency","Log Frequency"
A,1.535121198242668e-3,-9.347431723398119
B,2.9232326316444173e-3,-8.418219640887544
C,7.915910414510994e-5,-13.624885189144877
D,1.6679954087719595e-4,-12.549597061840638
E,2.572670884716073e-4,-11.924445471003786
F,1.2721998880464098e-4,-12.940387014872806
G,2.5443997760928196e-4,-11.940387014872806
H,2.0864078163961124e-3,-8.904763105142084
I,5.795577267766978e-4,-10.752760011697035
J,7.293946024799417e-4,-10.421012855779226
K,2.3606375700416715e-3,-8.726607723841067
L,1.8263136170621795e-3,-9.096849756508554
M,7.158244703407799e-3,-7.126178421774139
N,2.420006898150504e-3,-8.690773124801334
O,1.6114531915254526e-4,-12.599350097037739
P,7.71801265414822e-4,-10.339482970282628
Q,2.8271108623253553e-6,-18.432240111202482
R,2.459586450223059e-4,-11.989296615353753
S,1.543602530829644e-3,-9.339482970282628
T,6.898150504073867e-4,-10.501502773639595
U,7.859368197264487e-4,-10.313299038478974
V,8.764043673208601e-5,-13.478043800815605
W,2.1288144793309926e-3,-8.875734056530552
X,2.8271108623253553e-6,-18.432240111202482
Y,5.707936831034892e-3,-7.4528149158710075
Z,2.6292131019625806e-4,-11.89308130009445
a,0.22226180177429478,-2.169668068816779
b,1.766378866780882e-2,-5.823061373060501
c,4.249147626075009e-3,-7.878610817286115
d,1.1746645632961851e-2,-6.411607349544774
e,5.468480540995935e-2,-4.192716164890323
f,9.725261366399222e-3,-6.68404726161302
g,1.2085898936440893e-2,-6.370531406541858
h,2.5019931131579395e-2,-5.320778371344757
i,0.10270611051741783,-3.2834060772923297
j,1.0398113751632656e-2,-6.587534346790543
k,6.41245285792637e-2,-3.9629798751970746
l,3.0083286686004105e-2,-5.054893995546135
m,5.333344641776783e-2,-4.228815631505008
n,6.500376005744689e-2,-3.9433330184130306
o,3.9670019620149384e-2,-4.655807078757747
p,1.1687276304853018e-2,-6.418917437777033
q,5.654221724650711e-6,-17.432240111202482
r,1.0327435980074523e-2,-6.597374072840461
s,2.520369333763054e-2,-5.310221028690123
t,3.1137799037651463e-2,-5.005189218051602
u,6.845848953120848e-2,-3.8686267287134934
v,4.1586800784805976e-3,-7.90965857994765
w,5.3791438377464536e-2,-4.216479622816229
x,2.8271108623253553e-6,-18.432240111202482
y,2.6249724356690922e-2,-5.251553916379697
z,1.1325406114475373e-2,-6.464293405389772
